"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 03 20:16:51 IST 2020","Fri Jul 03 20:16:52 IST 2020","660","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","getApiResponse","getApiResponse",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:55 IST 2020","16","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","validateJsonSchema","validateJsonSchema",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:55 IST 2020","4","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","printHeadersAndCookiesData","printHeadersAndCookiesData",""
"passed","Fri Jul 03 20:16:54 IST 2020","Fri Jul 03 20:16:54 IST 2020","682","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.MultipleLocationsViaParametrisation","Tests.ZipCodeApi_GetRequestTests.MultipleLocationsViaParametrisation","requestZipCodesFromCollection_checkPlaceNameInResponseBody_expectSpecifiedPlaceName","requestZipCodesFromCollection_checkPlaceNameInResponseBody_expectSpecifiedPlaceName",""
"passed","Fri Jul 03 20:16:51 IST 2020","Fri Jul 03 20:16:51 IST 2020","3","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.India_110058","Tests.ZipCodeApi_GetRequestTests.India_110058","printHeadersAndCookiesData","printHeadersAndCookiesData",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:55 IST 2020","2","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","validateApiResponseTime","validateApiResponseTime",""
"passed","Fri Jul 03 20:16:52 IST 2020","Fri Jul 03 20:16:52 IST 2020","2","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","validateCountOfKeysInResponse","validateCountOfKeysInResponse",""
"failed","Fri Jul 03 20:16:51 IST 2020","Fri Jul 03 20:16:51 IST 2020","328","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.India_110058","Tests.ZipCodeApi_GetRequestTests.India_110058","validateCountry","validateCountry",""
"passed","Fri Jul 03 20:16:52 IST 2020","Fri Jul 03 20:16:52 IST 2020","2","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","validateApiResponseTime","validateApiResponseTime",""
"passed","Fri Jul 03 20:16:52 IST 2020","Fri Jul 03 20:16:52 IST 2020","0","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","validateContentTypeOfResponse","validateContentTypeOfResponse",""
"passed","Fri Jul 03 20:16:49 IST 2020","Fri Jul 03 20:16:51 IST 2020","1238","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.India_110058","Tests.ZipCodeApi_GetRequestTests.India_110058","getApiResponse","getApiResponse",""
"passed","Fri Jul 03 20:16:51 IST 2020","Fri Jul 03 20:16:51 IST 2020","370","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.India_110058","Tests.ZipCodeApi_GetRequestTests.India_110058","validateJsonSchema","validateJsonSchema",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:55 IST 2020","21","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","validateCountry","validateCountry",""
"passed","Fri Jul 03 20:16:52 IST 2020","Fri Jul 03 20:16:52 IST 2020","15","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","validatePlaceNameInResponse","validatePlaceNameInResponse",""
"passed","Fri Jul 03 20:16:51 IST 2020","Fri Jul 03 20:16:51 IST 2020","3","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.India_110058","Tests.ZipCodeApi_GetRequestTests.India_110058","validateContentTypeOfResponse","validateContentTypeOfResponse",""
"passed","Fri Jul 03 20:16:52 IST 2020","Fri Jul 03 20:16:52 IST 2020","18","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_GetRequestTests.US_90210","Tests.ZipCodeApi_GetRequestTests.US_90210","validateCountry","validateCountry",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:55 IST 2020","1","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110064","validateCountOfKeysInResponse","validateCountOfKeysInResponse",""
"passed","Fri Jul 03 20:16:55 IST 2020","Fri Jul 03 20:16:56 IST 2020","172","TestNG With Retry Listener","Test cases","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110018_Deserialize_Response","Tests.ZipCodeApi_PostRequestTests.Mocked_India_110018_Deserialize_Response","getMockedApiResponse","getMockedApiResponse",""
